               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.05277,            0.010504,                   0,             0.29995,             0.47358,             0.30528,             0.14307,            0.069758,            0.014097,                   0,           0.0026244,           0.0026244,            0.075424
                  39,            0.059402,           0.0099863,                   0,             0.41141,             0.36842,             0.22582,             0.10668,            0.075276,            0.013241,                   0,           0.0026867,           0.0026867,            0.074787
                  40,            0.055409,            0.010503,                   0,             0.27721,             0.26316,             0.16004,            0.056031,            0.078783,             0.01275,                   0,           0.0027487,           0.0027487,            0.074149
                  41,            0.054864,           0.0097007,                   0,             0.69075,             0.47368,             0.37339,             0.13247,            0.067732,            0.013573,                   0,           0.0028103,           0.0028103,             0.07351
                  42,            0.051458,           0.0091667,                   0,             0.29001,             0.47368,              0.1717,            0.036394,            0.076259,             0.01318,                   0,           0.0028715,           0.0028715,            0.072872
                  43,            0.053439,           0.0087859,                   0,             0.34953,             0.36842,             0.17384,            0.055102,            0.083995,             0.01348,                   0,           0.0029323,           0.0029323,            0.072232
                  44,            0.054628,           0.0091459,                   0,             0.36827,             0.36842,             0.27676,            0.051473,            0.072454,            0.013406,                   0,           0.0029926,           0.0029926,            0.071593
                  45,            0.048743,           0.0091666,                   0,             0.21395,             0.47368,             0.15848,            0.065537,             0.07924,             0.01252,                   0,           0.0030526,           0.0030526,            0.070953
                  46,            0.053513,           0.0087868,                   0,             0.52566,             0.52501,             0.40249,             0.12003,            0.068035,            0.012744,                   0,            0.003112,            0.003112,            0.070312
                  47,            0.056159,           0.0089075,                   0,             0.33315,             0.36842,             0.23051,             0.10293,            0.068604,             0.01413,                   0,           0.0031711,           0.0031711,            0.069671
                  48,            0.051757,           0.0088258,                   0,             0.26194,             0.52632,             0.20162,            0.073693,            0.077141,            0.012011,                   0,           0.0032296,           0.0032296,             0.06903
                  49,            0.055393,            0.008358,                   0,             0.56238,             0.47347,             0.30694,            0.090305,            0.073202,             0.01193,                   0,           0.0032877,           0.0032877,            0.068388
                  50,            0.062186,           0.0083683,                   0,             0.55544,             0.52632,             0.35913,             0.13995,            0.068923,            0.011965,                   0,           0.0033454,           0.0033454,            0.067745
                  51,            0.049647,           0.0090256,                   0,             0.29766,             0.47368,             0.22006,            0.083469,            0.066925,            0.012365,                   0,           0.0034025,           0.0034025,            0.067103
                  52,            0.051499,           0.0083593,                   0,             0.31188,             0.52632,             0.21453,            0.079531,            0.075129,            0.011515,                   0,           0.0034592,           0.0034592,            0.066459
                  53,            0.057153,           0.0085643,                   0,             0.44998,             0.47365,             0.25009,            0.085522,             0.06788,            0.012632,                   0,           0.0035153,           0.0035153,            0.065815
                  54,             0.04835,           0.0087117,                   0,             0.27467,             0.57895,             0.27177,            0.082145,            0.070893,            0.013103,                   0,            0.003571,            0.003571,            0.065171
                  55,            0.054126,           0.0084178,                   0,             0.41123,             0.36842,             0.20339,            0.085211,            0.071748,            0.012202,                   0,           0.0036261,           0.0036261,            0.064526
                  56,            0.050946,           0.0080259,                   0,             0.30996,             0.47368,              0.3085,            0.076792,            0.066878,            0.012154,                   0,           0.0036808,           0.0036808,            0.063881
                  57,            0.050581,            0.008443,                   0,             0.45416,             0.52632,             0.29383,             0.12226,            0.068939,              0.0119,                   0,           0.0037349,           0.0037349,            0.063235
                  58,            0.055885,           0.0083439,                   0,             0.74983,             0.47368,             0.39701,               0.136,            0.064436,            0.013136,                   0,           0.0037884,           0.0037884,            0.062588
                  59,            0.053468,           0.0085441,                   0,             0.28539,              0.4204,             0.20423,            0.045601,            0.071985,            0.012013,                   0,           0.0038414,           0.0038414,            0.061941
                  60,            0.049722,           0.0081247,                   0,             0.43459,             0.52632,             0.36362,             0.11862,            0.065719,            0.012114,                   0,           0.0038939,           0.0038939,            0.061294
                  61,            0.048605,            0.008187,                   0,             0.66655,             0.52605,             0.42444,             0.16605,            0.063354,            0.011939,                   0,           0.0039458,           0.0039458,            0.060646
                  62,            0.048098,           0.0077201,                   0,             0.41595,             0.52632,             0.37437,              0.1226,             0.06629,            0.011048,                   0,           0.0039971,           0.0039971,            0.059997
                  63,            0.051447,             0.00756,                   0,             0.57102,             0.42105,             0.35791,             0.10743,            0.071153,            0.010902,                   0,           0.0040479,           0.0040479,            0.059348
                  64,            0.054633,           0.0077811,                   0,             0.41626,             0.52632,             0.37599,             0.15453,              0.0657,            0.011311,                   0,           0.0040981,           0.0040981,            0.058698
                  65,            0.048428,           0.0078649,                   0,             0.58273,             0.36758,             0.30213,            0.092509,             0.07131,            0.010929,                   0,           0.0041477,           0.0041477,            0.058048
                  66,            0.048243,           0.0070164,                   0,             0.57763,             0.57895,             0.37925,             0.11353,            0.067618,            0.010841,                   0,           0.0041967,           0.0041967,            0.057397
                  67,            0.050498,           0.0072465,                   0,             0.56227,             0.47368,             0.34193,              0.1161,            0.066821,            0.011519,                   0,           0.0042451,           0.0042451,            0.056745
                  68,            0.051285,           0.0078276,                   0,             0.41584,             0.52632,             0.34348,             0.12255,            0.065223,            0.011865,                   0,           0.0042929,           0.0042929,            0.056093
                  69,            0.046862,           0.0082159,                   0,             0.56241,             0.47353,             0.36155,             0.15613,            0.064214,            0.011895,                   0,           0.0043401,           0.0043401,             0.05544
                  70,            0.047807,           0.0067625,                   0,             0.52922,             0.47368,             0.30376,             0.14617,            0.063875,            0.011239,                   0,           0.0043867,           0.0043867,            0.054787
                  71,            0.048432,            0.007487,                   0,             0.49975,             0.42105,              0.2612,            0.093059,            0.071927,            0.011582,                   0,           0.0044327,           0.0044327,            0.054133
                  72,            0.049747,           0.0072214,                   0,             0.52918,             0.47368,             0.29716,             0.12645,            0.067204,            0.011602,                   0,            0.004478,            0.004478,            0.053478
                  73,            0.048098,           0.0075605,                   0,             0.61537,             0.42103,             0.32406,             0.10496,            0.067281,            0.011085,                   0,           0.0045227,           0.0045227,            0.052823
                  74,            0.048041,           0.0073057,                   0,               0.588,             0.52584,             0.37475,             0.17773,            0.061471,            0.010694,                   0,           0.0045667,           0.0045667,            0.052167
                  75,            0.047087,           0.0074429,                   0,             0.45448,             0.52617,             0.28273,             0.12974,             0.06431,            0.011893,                   0,           0.0046101,           0.0046101,             0.05151
                  76,            0.044798,           0.0070838,                   0,             0.58741,             0.52632,             0.35874,             0.11811,            0.065694,              0.0118,                   0,           0.0046529,           0.0046529,            0.050853
                  77,            0.048083,           0.0070607,                   0,             0.58328,             0.36842,             0.28908,            0.089138,            0.071713,             0.01183,                   0,            0.004695,            0.004695,            0.050195
                  78,            0.043581,           0.0065872,                   0,             0.71421,             0.52632,             0.43312,             0.12551,            0.062296,            0.011442,                   0,           0.0047364,           0.0047364,            0.049536
                  79,            0.048043,           0.0069164,                   0,             0.58817,             0.52632,             0.36731,            0.095217,            0.065847,            0.011255,                   0,           0.0047772,           0.0047772,            0.048877
                  80,            0.050638,           0.0073021,                   0,             0.66659,             0.52614,             0.36533,             0.14984,             0.06345,            0.011107,                   0,           0.0048173,           0.0048173,            0.048217
                  81,            0.042638,           0.0071614,                   0,             0.58747,             0.52632,             0.40437,             0.15293,            0.062348,            0.011732,                   0,           0.0048567,           0.0048567,            0.047557
                  82,            0.047521,           0.0071255,                   0,             0.71389,             0.52632,             0.39419,             0.19025,            0.066032,            0.010985,                   0,           0.0048954,           0.0048954,            0.046895
                  83,            0.045632,           0.0074422,                   0,             0.66648,             0.52632,             0.40348,             0.16967,            0.065218,             0.01101,                   0,           0.0049335,           0.0049335,            0.046233
                  84,            0.048242,           0.0071758,                   0,             0.52916,             0.47368,             0.30333,            0.096696,            0.068727,             0.01114,                   0,           0.0049708,           0.0049708,            0.045571
                  85,            0.047275,           0.0071553,                   0,             0.52516,               0.524,             0.30487,              0.1117,            0.066561,            0.012376,                   0,           0.0050075,           0.0050075,            0.044907
                  86,            0.047569,             0.00703,                   0,             0.53836,             0.36829,             0.29386,            0.085749,            0.069832,            0.013605,                   0,           0.0050435,           0.0050435,            0.044243
                  87,            0.046799,           0.0067256,                   0,             0.52373,             0.57895,             0.48237,             0.18598,             0.06254,            0.011187,                   0,           0.0050787,           0.0050787,            0.043579
                  88,            0.042464,           0.0065604,                   0,             0.52609,             0.52632,             0.39276,             0.12795,            0.064706,            0.011215,                   0,           0.0051133,           0.0051133,            0.042913
                  89,            0.046635,           0.0069562,                   0,             0.64256,             0.47368,             0.42161,             0.16197,            0.064101,            0.011253,                   0,           0.0051471,           0.0051471,            0.042247
